ligne_num,couleur,origine,destination,jours_validite,course_num,heure_ref_depart_ligne,commune,arret,arret_norm,heure_passage,remarque
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,SAINT-TROJAN-LES-BAINS,Lannelongue - Plage de Gatseau,saint trojan les bains|lannelongue plage de gatseau,08:30,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,SAINT-TROJAN-LES-BAINS,Lannelongue - Plage de Gatseau,saint trojan les bains|lannelongue plage de gatseau,10:00,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,SAINT-TROJAN-LES-BAINS,Lannelongue - Plage de Gatseau,saint trojan les bains|lannelongue plage de gatseau,11:30,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,SAINT-TROJAN-LES-BAINS,Lannelongue - Plage de Gatseau,saint trojan les bains|lannelongue plage de gatseau,13:00,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,SAINT-TROJAN-LES-BAINS,Lannelongue - Plage de Gatseau,saint trojan les bains|lannelongue plage de gatseau,14:30,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,SAINT-TROJAN-LES-BAINS,Lannelongue - Plage de Gatseau,saint trojan les bains|lannelongue plage de gatseau,16:00,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,SAINT-TROJAN-LES-BAINS,Lannelongue - Plage de Gatseau,saint trojan les bains|lannelongue plage de gatseau,17:30,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,SAINT-TROJAN-LES-BAINS,Camping Les Bris,saint trojan les bains|camping les bris,08:31,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,SAINT-TROJAN-LES-BAINS,Camping Les Bris,saint trojan les bains|camping les bris,10:01,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,SAINT-TROJAN-LES-BAINS,Camping Les Bris,saint trojan les bains|camping les bris,11:31,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,SAINT-TROJAN-LES-BAINS,Camping Les Bris,saint trojan les bains|camping les bris,13:01,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,SAINT-TROJAN-LES-BAINS,Camping Les Bris,saint trojan les bains|camping les bris,14:31,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,SAINT-TROJAN-LES-BAINS,Camping Les Bris,saint trojan les bains|camping les bris,16:01,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,SAINT-TROJAN-LES-BAINS,Camping Les Bris,saint trojan les bains|camping les bris,17:31,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,SAINT-TROJAN-LES-BAINS,Camping Flower Monplaisir,saint trojan les bains|camping flower monplaisir,08:34,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,SAINT-TROJAN-LES-BAINS,Camping Flower Monplaisir,saint trojan les bains|camping flower monplaisir,10:04,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,SAINT-TROJAN-LES-BAINS,Camping Flower Monplaisir,saint trojan les bains|camping flower monplaisir,11:34,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,SAINT-TROJAN-LES-BAINS,Camping Flower Monplaisir,saint trojan les bains|camping flower monplaisir,13:04,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,SAINT-TROJAN-LES-BAINS,Camping Flower Monplaisir,saint trojan les bains|camping flower monplaisir,14:34,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,SAINT-TROJAN-LES-BAINS,Camping Flower Monplaisir,saint trojan les bains|camping flower monplaisir,16:04,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,7,17:30,SAINT-TROJAN-LES-BAINS,Camping Flower Monplaisir,saint trojan les bains|camping flower monplaisir,17:34,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,1,08:30,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,08:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,2,10:00,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,10:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,3,11:30,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,11:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,4,13:00,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,13:06,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,5,14:30,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,14:36,
1,Violette,Saint-Trojan-Les-Bains,Le Château-d'Oléron,Du lundi au dimanche et jours fériés,6,16:00,SAINT-TROJAN-LES-BAINS,Hôtel Les Cleunes Oléron,saint trojan les bains|hotel les cleunes oleron,16:06,
